Grp	sID	Phase	Trial	S/L	L/R	RE	
2.000	33.000	3.000	1.000	33.992	17.592	38.275
2.000	33.000	3.000	2.000	-35.143	-5.126	35.515
2.000	33.000	3.000	3.000	55.286	-29.362	62.599
2.000	33.000	3.000	4.000	-2.881	-16.579	16.827
2.000	33.000	3.000	5.000	29.962	-31.565	43.521
2.000	33.000	3.000	6.000	-11.428	-20.780	23.715
2.000	33.000	3.000	7.000	56.846	-33.879	66.176
2.000	33.000	3.000	8.000	90.000	-12.138	90.815
2.000	33.000	3.000	9.000	23.783	-30.178	38.423
2.000	33.000	3.000	10.000	106.878	-42.033	114.846
