Grp	sID	Phase	Trial	S/L	L/R	RE	
2.000	36.000	3.000	1.000	45.491	-12.812	47.261
2.000	36.000	3.000	2.000	19.661	-6.247	20.630
2.000	36.000	3.000	3.000	31.197	-11.483	33.244
2.000	36.000	3.000	4.000	-7.784	-11.918	14.235
2.000	36.000	3.000	5.000	-3.093	-14.581	14.905
2.000	36.000	3.000	6.000	4.962	-8.344	9.708
2.000	36.000	3.000	7.000	12.875	-13.468	18.632
2.000	36.000	3.000	8.000	-2.785	-10.860	11.212
2.000	36.000	3.000	9.000	26.490	-13.032	29.522
2.000	36.000	3.000	10.000	-5.403	-4.092	6.778
