Grp	sID	Phase	Trial	S/L	L/R	RE	
2.000	59.000	3.000	1.000	32.727	-22.327	39.617
2.000	59.000	3.000	2.000	70.153	-8.207	70.632
2.000	59.000	3.000	3.000	101.188	-16.604	102.541
2.000	59.000	3.000	4.000	98.167	-13.157	99.044
2.000	59.000	3.000	5.000	90.000	-21.042	92.427
2.000	59.000	3.000	6.000	47.835	-1.523	47.859
2.000	59.000	3.000	7.000	48.424	-1.428	48.445
2.000	59.000	3.000	8.000	86.892	-13.098	87.874
2.000	59.000	3.000	9.000	20.428	-11.969	23.676
2.000	59.000	3.000	10.000	44.351	-11.603	45.844
