Grp	sID	Phase	Trial	S/L	L/R	RE	
2.000	16.000	3.000	1.000	84.521	-26.835	88.679
2.000	16.000	3.000	2.000	65.325	-24.974	69.936
2.000	16.000	3.000	3.000	104.207	-33.397	109.427
2.000	16.000	3.000	4.000	74.825	-17.237	76.785
2.000	16.000	3.000	5.000	75.511	-23.407	79.055
2.000	16.000	3.000	6.000	41.330	-18.902	45.447
2.000	16.000	3.000	7.000	88.634	-23.016	91.574
2.000	16.000	3.000	8.000	90.985	-19.196	92.988
2.000	16.000	3.000	9.000	47.304	-13.418	49.170
2.000	16.000	3.000	10.000	54.748	-16.062	57.055
