Grp	sID	Phase	Trial	S/L	L/R	RE	
1.000	27.000	3.000	1.000	-14.088	-10.709	17.696
1.000	27.000	3.000	2.000	-90.037	-0.080	90.037
1.000	27.000	3.000	3.000	-17.817	-18.512	25.693
1.000	27.000	3.000	4.000	-38.210	-11.628	39.940
1.000	27.000	3.000	5.000	-17.307	-9.236	19.617
1.000	27.000	3.000	6.000	-39.558	-3.227	39.689
1.000	27.000	3.000	7.000	-28.139	-6.183	28.810
1.000	27.000	3.000	8.000	-62.990	-1.121	63.000
1.000	27.000	3.000	9.000	-10.774	-13.744	17.464
1.000	27.000	3.000	10.000	-54.595	-2.605	54.657

