Grp	sID	Phase	Trial	S/L	L/R	RE	
2.000	48.000	3.000	1.000	3.350	-22.350	22.599
2.000	48.000	3.000	2.000	-2.685	-17.845	18.046
2.000	48.000	3.000	3.000	-37.764	-3.599	37.935
2.000	48.000	3.000	4.000	18.766	-21.808	28.771
2.000	48.000	3.000	5.000	89.474	-28.450	93.888
2.000	48.000	3.000	6.000	33.230	-12.582	35.532
2.000	48.000	3.000	7.000	62.026	-6.421	62.358
2.000	48.000	3.000	8.000	55.435	-25.816	61.151
2.000	48.000	3.000	9.000	7.492	-7.045	10.284
2.000	48.000	3.000	10.000	86.948	-24.638	90.372
