Grp	sID	Phase	Trial	S/L	L/R	RE	
1.000	57.000	3.000	1.000	47.454	-25.244	53.751
1.000	57.000	3.000	2.000	-43.443	-8.512	44.269
1.000	57.000	3.000	3.000	53.129	-25.831	59.076
1.000	57.000	3.000	4.000	66.436	-31.995	73.739
1.000	57.000	3.000	5.000	-16.927	-19.764	26.022
1.000	57.000	3.000	6.000	90.000	-27.690	94.163
1.000	57.000	3.000	7.000	125.925	-30.038	129.458
1.000	57.000	3.000	8.000	52.640	-24.461	58.046
1.000	57.000	3.000	9.000	90.212	-34.441	96.563
1.000	57.000	3.000	10.000	114.086	-35.615	119.516
