Grp	sID	Phase	Trial	S/L	L/R	RE	
1.000	20.000	3.000	1.000	43.595	-19.661	47.824
1.000	20.000	3.000	2.000	120.605	-15.520	121.599
1.000	20.000	3.000	3.000	55.268	-5.597	55.551
1.000	20.000	3.000	4.000	90.000	-2.017	90.023
1.000	20.000	3.000	5.000	90.000	-18.950	91.973
1.000	20.000	3.000	6.000	90.000	-18.261	91.834
1.000	20.000	3.000	7.000	90.000	-9.746	90.526
1.000	20.000	3.000	8.000	90.000	-9.649	90.516
1.000	20.000	3.000	9.000	90.000	-17.879	91.759
1.000	20.000	3.000	10.000	90.000	-15.533	91.331
