Grp	sID	Phase	Trial	S/L	L/R	RE	
2.000	10.000	3.000	1.000	-32.303	-7.864	33.247
2.000	10.000	3.000	2.000	-33.865	-5.807	34.359
2.000	10.000	3.000	3.000	-5.408	-14.275	15.265
2.000	10.000	3.000	4.000	-6.376	-8.794	10.862
2.000	10.000	3.000	5.000	-26.139	-7.876	27.300
2.000	10.000	3.000	6.000	-42.644	8.201	43.426
2.000	10.000	3.000	7.000	7.698	-16.550	18.253
2.000	10.000	3.000	8.000	-0.218	-11.643	11.645
2.000	10.000	3.000	9.000	22.469	-18.339	29.003
2.000	10.000	3.000	10.000	5.552	-13.121	14.248
