Grp	sID	Phase	Trial	S/L	L/R	RE	
1.000	35.000	3.000	1.000	90.000	5.839	90.189
1.000	35.000	3.000	2.000	90.000	-3.788	90.080
1.000	35.000	3.000	3.000	90.000	-34.970	96.555
1.000	35.000	3.000	4.000	90.000	-21.267	92.478
1.000	35.000	3.000	5.000	87.614	-26.503	91.535
1.000	35.000	3.000	6.000	90.000	-42.205	99.405
1.000	35.000	3.000	7.000	90.000	-44.939	100.596
1.000	35.000	3.000	8.000	57.706	-25.551	63.110
1.000	35.000	3.000	9.000	-2.409	-26.581	26.690
1.000	35.000	3.000	10.000	-74.292	-2.364	74.330
