Grp	sID	Phase	Trial	S/L	L/R	RE	
2.000	40.000	4.000	1.000	108.728	25.013	111.568
2.000	40.000	4.000	2.000	6.940	19.110	20.332
2.000	40.000	4.000	3.000	50.388	-14.220	52.356
2.000	40.000	4.000	4.000	-31.171	9.537	32.598
2.000	40.000	4.000	5.000	13.251	0.638	13.266
2.000	40.000	4.000	6.000	-6.268	3.360	7.112
2.000	40.000	4.000	7.000	5.747	-11.699	13.034
2.000	40.000	4.000	8.000	26.047	-15.307	30.212
2.000	40.000	4.000	9.000	10.942	13.306	17.227
2.000	40.000	4.000	10.000	-18.629	4.583	19.184
