Grp	sID	Phase	Trial	S/L	L/R	RE	
1.000	44.000	4.000	1.000	90.000	-13.798	91.052
1.000	44.000	4.000	2.000	10.470	-20.134	22.693
1.000	44.000	4.000	3.000	-19.136	-7.048	20.393
1.000	44.000	4.000	4.000	-61.522	-2.806	61.586
1.000	44.000	4.000	5.000	-31.952	-4.335	32.245
1.000	44.000	4.000	6.000	-51.052	-4.625	51.261
1.000	44.000	4.000	7.000	-52.808	-3.440	52.920
1.000	44.000	4.000	8.000	-34.233	-9.710	35.583
1.000	44.000	4.000	9.000	-112.928	-0.378	112.928
1.000	44.000	4.000	10.000	5.496	-16.287	17.190
