Grp	sID	Phase	Trial	S/L	L/R	RE	
2.000	46.000	4.000	1.000	86.028	-22.960	89.039
2.000	46.000	4.000	2.000	90.000	-21.481	92.528
2.000	46.000	4.000	3.000	90.000	18.475	91.877
2.000	46.000	4.000	4.000	100.420	34.905	106.313
2.000	46.000	4.000	5.000	91.251	-4.091	91.343
2.000	46.000	4.000	6.000	59.324	12.058	60.537
2.000	46.000	4.000	7.000	68.706	-2.993	68.771
2.000	46.000	4.000	8.000	90.000	4.927	90.135
2.000	46.000	4.000	9.000	22.498	-7.830	23.822
2.000	46.000	4.000	10.000	36.074	-9.776	37.375
