Grp	sID	Phase	Trial	S/L	L/R	RE	
1.000	32.000	4.000	1.000	-44.188	-7.289	44.785
1.000	32.000	4.000	2.000	14.885	-32.456	35.707
1.000	32.000	4.000	3.000	-32.947	-17.700	37.401
1.000	32.000	4.000	4.000	-1.996	-26.791	26.865
1.000	32.000	4.000	5.000	63.852	-14.304	65.435
1.000	32.000	4.000	6.000	10.650	-14.584	18.059
1.000	32.000	4.000	7.000	46.454	-24.365	52.456
1.000	32.000	4.000	8.000	118.178	-34.802	123.195
1.000	32.000	4.000	9.000	38.688	-23.767	45.405
1.000	32.000	4.000	10.000	81.285	-35.212	88.584
