Grp	sID	Phase	Trial	S/L	L/R	RE	
2.000	59.000	4.000	1.000	14.665	-12.362	19.180
2.000	59.000	4.000	2.000	90.000	-16.553	91.509
2.000	59.000	4.000	3.000	54.887	-4.241	55.051
2.000	59.000	4.000	4.000	87.653	-11.990	88.469
2.000	59.000	4.000	5.000	74.477	-14.175	75.814
2.000	59.000	4.000	6.000	121.485	-22.202	123.497
2.000	59.000	4.000	7.000	15.780	-6.278	16.983
2.000	59.000	4.000	8.000	122.386	-19.260	123.892
2.000	59.000	4.000	9.000	87.750	-12.187	88.592
2.000	59.000	4.000	10.000	55.128	-13.869	56.845
