Grp	sID	Phase	Trial	S/L	L/R	RE	
2.000	45.000	4.000	1.000	97.565	-38.467	104.875
2.000	45.000	4.000	2.000	38.424	-13.390	40.690
2.000	45.000	4.000	3.000	4.364	-18.208	18.724
2.000	45.000	4.000	4.000	-2.482	-16.726	16.909
2.000	45.000	4.000	5.000	15.125	-19.014	24.296
2.000	45.000	4.000	6.000	34.211	-16.022	37.777
2.000	45.000	4.000	7.000	15.234	-13.731	20.509
2.000	45.000	4.000	8.000	40.945	-23.962	47.441
2.000	45.000	4.000	9.000	13.572	-13.140	18.891
2.000	45.000	4.000	10.000	34.483	-26.003	43.188
