Grp	sID	Phase	Trial	S/L	L/R	RE	
2.000	10.000	4.000	1.000	-35.190	-14.277	37.976
2.000	10.000	4.000	2.000	-48.944	-15.627	51.378
2.000	10.000	4.000	3.000	-24.082	-9.386	25.846
2.000	10.000	4.000	4.000	-60.901	-1.068	60.910
2.000	10.000	4.000	5.000	-82.401	5.159	82.562
2.000	10.000	4.000	6.000	-44.113	-5.715	44.482
2.000	10.000	4.000	7.000	-82.582	13.312	83.648
2.000	10.000	4.000	8.000	-40.387	-9.062	41.391
2.000	10.000	4.000	9.000	-71.620	-8.121	72.079
2.000	10.000	4.000	10.000	-28.894	-8.788	30.201

