Grp	sID	Phase	Trial	S/L	L/R	RE	
1.000	27.000	1.000	1.000	90.000	-21.420	92.514
1.000	27.000	1.000	2.000	6.934	-5.789	9.033
1.000	27.000	1.000	3.000	79.578	13.029	80.637
1.000	27.000	1.000	4.000	90.000	23.303	92.968
1.000	27.000	1.000	5.000	-29.260	-1.793	29.315
1.000	27.000	1.000	6.000	-3.337	-4.689	5.755
1.000	27.000	1.000	7.000	-8.923	-8.199	12.117
1.000	27.000	1.000	8.000	10.651	-6.384	12.417
1.000	27.000	1.000	9.000	-6.568	-5.660	8.671
1.000	27.000	1.000	10.000	-6.758	-2.724	7.286
