Grp	sID	Phase	Trial	S/L	L/R	RE	
2.000	18.000	1.000	1.000	61.491	-12.806	62.811
2.000	18.000	1.000	2.000	90.000	-33.051	95.877
2.000	18.000	1.000	3.000	90.000	-30.246	94.946
2.000	18.000	1.000	4.000	90.000	-46.590	101.344
2.000	18.000	1.000	5.000	118.240	-32.054	122.508
2.000	18.000	1.000	6.000	90.000	-47.189	101.621
2.000	18.000	1.000	7.000	92.088	-45.040	102.512
2.000	18.000	1.000	8.000	59.010	-35.045	68.632
2.000	18.000	1.000	9.000	90.000	-33.272	95.953
2.000	18.000	1.000	10.000	106.417	-42.182	114.472
