Grp	sID	Phase	Trial	S/L	L/R	RE	
1.000	34.000	1.000	1.000	14.138	-18.256	23.090
1.000	34.000	1.000	2.000	16.514	-13.126	21.096
1.000	34.000	1.000	3.000	-14.181	-7.582	16.081
1.000	34.000	1.000	4.000	-47.830	-10.774	49.028
1.000	34.000	1.000	5.000	-51.217	-1.198	51.231
1.000	34.000	1.000	6.000	25.790	-14.038	29.363
1.000	34.000	1.000	7.000	-13.107	-7.706	15.205
1.000	34.000	1.000	8.000	-53.534	0.131	53.534
1.000	34.000	1.000	9.000	-39.012	-2.376	39.084
1.000	34.000	1.000	10.000	-23.385	-3.736	23.682
