Grp	sID	Phase	Trial	S/L	L/R	RE	
2.000	17.000	1.000	1.000	102.050	-15.459	103.214
2.000	17.000	1.000	2.000	13.992	-8.219	16.227
2.000	17.000	1.000	3.000	11.545	-9.099	14.700
2.000	17.000	1.000	4.000	30.723	-22.993	38.374
2.000	17.000	1.000	5.000	0.978	-17.710	17.737
2.000	17.000	1.000	6.000	4.892	-12.035	12.991
2.000	17.000	1.000	7.000	6.164	-23.384	24.183
2.000	17.000	1.000	8.000	35.126	-23.384	42.198
2.000	17.000	1.000	9.000	57.727	1.859	57.757
2.000	17.000	1.000	10.000	55.379	-21.721	59.486
