Grp	sID	Phase	Trial	S/L	L/R	RE	
2.000	36.000	1.000	1.000	-51.956	-5.382	52.234
2.000	36.000	1.000	2.000	115.164	-33.561	119.955
2.000	36.000	1.000	3.000	-3.425	-27.103	27.319
2.000	36.000	1.000	4.000	65.752	-30.724	72.576
2.000	36.000	1.000	5.000	17.221	-13.796	22.066
2.000	36.000	1.000	6.000	-0.196	-12.035	12.037
2.000	36.000	1.000	7.000	-7.925	-9.295	12.215
2.000	36.000	1.000	8.000	-41.487	-15.460	44.273
2.000	36.000	1.000	9.000	90.000	-3.425	90.065
2.000	36.000	1.000	10.000	90.000	-14.873	91.221
