Grp	sID	Phase	Trial	S/L	L/R	RE	
1.000	19.000	1.000	1.000	15.235	-13.907	20.628
1.000	19.000	1.000	2.000	-76.149	0.354	76.150
1.000	19.000	1.000	3.000	93.880	-37.513	101.097
1.000	19.000	1.000	4.000	-21.949	-17.899	28.322
1.000	19.000	1.000	5.000	-45.316	-10.876	46.603
1.000	19.000	1.000	6.000	92.062	-8.960	92.497
1.000	19.000	1.000	7.000	-26.384	-7.015	27.301
1.000	19.000	1.000	8.000	66.980	-30.889	73.759
1.000	19.000	1.000	9.000	47.257	-31.415	56.746
1.000	19.000	1.000	10.000	64.042	-34.132	72.570
