Grp	sID	Phase	Trial	S/L	L/R	RE	
1.000	4.000	2.000	1.000	75.087	-30.297	80.969
1.000	4.000	2.000	2.000	43.968	-20.023	48.313
1.000	4.000	2.000	3.000	20.002	-19.388	27.857
1.000	4.000	2.000	4.000	-9.434	-2.045	9.653
1.000	4.000	2.000	5.000	18.651	-6.223	19.662
1.000	4.000	2.000	6.000	22.845	-22.537	32.090
1.000	4.000	2.000	7.000	-13.383	-12.548	18.345
1.000	4.000	2.000	8.000	-21.427	-7.032	22.551
1.000	4.000	2.000	9.000	0.267	-14.931	14.933
1.000	4.000	2.000	10.000	-6.590	-4.702	8.096
1.000	4.000	2.000	1.000	8.324	-13.178	15.587
1.000	4.000	2.000	2.000	5.885	-4.431	7.367
1.000	4.000	2.000	3.000	0.780	-3.047	3.145
1.000	4.000	2.000	4.000	18.838	-11.725	22.188
1.000	4.000	2.000	5.000	25.243	-0.735	25.254
1.000	4.000	2.000	6.000	-70.811	5.929	71.058
1.000	4.000	2.000	7.000	24.327	-17.727	30.100
1.000	4.000	2.000	8.000	5.078	-15.922	16.712
1.000	4.000	2.000	9.000	3.528	-4.525	5.738
1.000	4.000	2.000	10.000	-0.419	-13.653	13.659
1.000	4.000	2.000	1.000	-3.654	-10.209	10.843
1.000	4.000	2.000	2.000	-15.636	-9.400	18.244
1.000	4.000	2.000	3.000	-8.941	-1.457	9.059
1.000	4.000	2.000	4.000	25.887	-24.016	35.312
1.000	4.000	2.000	5.000	-20.034	2.493	20.188
1.000	4.000	2.000	6.000	-5.135	-14.528	15.409
1.000	4.000	2.000	7.000	-8.548	-1.359	8.656
1.000	4.000	2.000	8.000	1.145	-17.683	17.720
1.000	4.000	2.000	9.000	21.988	-8.096	23.431
1.000	4.000	2.000	10.000	29.141	-17.146	33.811
1.000	4.000	2.000	1.000	-35.469	-4.943	35.812
1.000	4.000	2.000	2.000	11.480	-6.505	13.195
1.000	4.000	2.000	3.000	-6.787	-4.997	8.428
1.000	4.000	2.000	4.000	-37.510	6.848	38.130
1.000	4.000	2.000	5.000	-21.628	-9.782	23.738
1.000	4.000	2.000	6.000	-20.248	-6.740	21.340
1.000	4.000	2.000	7.000	-24.384	-12.429	27.369
1.000	4.000	2.000	8.000	-21.729	-11.157	24.426
1.000	4.000	2.000	9.000	-3.950	-11.092	11.775
1.000	4.000	2.000	10.000	-11.421	-13.927	18.011
1.000	4.000	2.000	1.000	16.473	-15.453	22.586
1.000	4.000	2.000	2.000	-15.926	-6.944	17.374
1.000	4.000	2.000	3.000	-34.084	0.654	34.090
1.000	4.000	2.000	4.000	12.247	-16.722	20.727
1.000	4.000	2.000	5.000	-25.754	-9.774	27.546
1.000	4.000	2.000	6.000	-20.169	-17.152	26.476
1.000	4.000	2.000	7.000	1.764	-2.263	2.869
1.000	4.000	2.000	8.000	-10.549	-20.313	22.889
1.000	4.000	2.000	9.000	26.297	-14.784	30.168
1.000	4.000	2.000	10.000	-0.616	-14.144	14.157
1.000	4.000	2.000	1.000	0.962	-10.709	10.752
1.000	4.000	2.000	2.000	-18.159	7.008	19.464
1.000	4.000	2.000	3.000	13.129	-17.804	22.121
1.000	4.000	2.000	4.000	-12.871	-1.547	12.963
1.000	4.000	2.000	5.000	24.231	-16.450	29.287
1.000	4.000	2.000	6.000	-28.895	-8.393	30.089
1.000	4.000	2.000	7.000	27.890	-3.589	28.120
1.000	4.000	2.000	8.000	28.364	-12.823	31.127
1.000	4.000	2.000	9.000	26.810	-3.390	27.023
1.000	4.000	2.000	10.000	-25.149	-1.623	25.202
1.000	4.000	2.000	1.000	-11.811	-12.551	17.234
