Grp	sID	Phase	Trial	S/L	L/R	RE	
2.000	31.000	2.000	1.000	77.127	13.136	78.238
2.000	31.000	2.000	2.000	31.075	-13.542	33.898
2.000	31.000	2.000	3.000	-69.955	0.296	69.956
2.000	31.000	2.000	4.000	31.795	-6.140	32.382
2.000	31.000	2.000	5.000	-9.525	-14.073	16.993
2.000	31.000	2.000	6.000	1.016	-8.507	8.568
2.000	31.000	2.000	7.000	-3.976	6.707	7.797
2.000	31.000	2.000	8.000	-24.579	-4.822	25.047
2.000	31.000	2.000	9.000	109.039	-13.399	109.860
2.000	31.000	2.000	10.000	-19.193	-3.749	19.555
2.000	31.000	2.000	1.000	-6.745	-6.025	9.043
2.000	31.000	2.000	2.000	-3.121	-10.676	11.123
2.000	31.000	2.000	3.000	-36.635	-2.456	36.717
2.000	31.000	2.000	4.000	18.052	-10.671	20.970
2.000	31.000	2.000	5.000	-57.942	0.956	57.950
2.000	31.000	2.000	6.000	7.599	-5.993	9.678
2.000	31.000	2.000	7.000	44.234	-3.536	44.375
2.000	31.000	2.000	8.000	48.429	-8.979	49.254
2.000	31.000	2.000	9.000	-14.060	-11.258	18.012
2.000	31.000	2.000	10.000	-28.294	-5.242	28.776
2.000	31.000	2.000	1.000	7.878	-6.778	10.393
2.000	31.000	2.000	2.000	-7.303	-4.551	8.605
2.000	31.000	2.000	3.000	50.656	-15.264	52.906
2.000	31.000	2.000	4.000	2.059	5.915	6.263
2.000	31.000	2.000	5.000	-19.977	-3.930	20.359
2.000	31.000	2.000	6.000	-13.546	-4.437	14.254
2.000	31.000	2.000	7.000	38.313	-1.867	38.358
2.000	31.000	2.000	8.000	11.655	-8.311	14.315
2.000	31.000	2.000	9.000	1.561	-5.395	5.616
2.000	31.000	2.000	10.000	-13.074	-5.324	14.117
2.000	31.000	2.000	1.000	29.472	-5.122	29.914
2.000	31.000	2.000	2.000	38.901	-1.683	38.938
2.000	31.000	2.000	3.000	3.419	-5.136	6.170
2.000	31.000	2.000	4.000	5.634	-6.737	8.783
2.000	31.000	2.000	5.000	-14.170	-6.573	15.620
2.000	31.000	2.000	6.000	3.788	-11.680	12.279
2.000	31.000	2.000	7.000	15.628	-9.846	18.471
2.000	31.000	2.000	8.000	9.908	-7.791	12.605
2.000	31.000	2.000	9.000	3.994	-0.365	4.011
2.000	31.000	2.000	10.000	4.604	-9.744	10.777
2.000	31.000	2.000	1.000	-6.706	-3.879	7.746
2.000	31.000	2.000	2.000	1.515	-7.931	8.074
2.000	31.000	2.000	3.000	31.910	-5.166	32.326
2.000	31.000	2.000	4.000	-7.828	-11.957	14.291
2.000	31.000	2.000	5.000	17.536	-6.856	18.829
2.000	31.000	2.000	6.000	-7.078	-8.263	10.880
2.000	31.000	2.000	7.000	76.946	-12.913	78.022
2.000	31.000	2.000	8.000	6.549	-10.072	12.014
2.000	31.000	2.000	9.000	54.700	-7.532	55.216
2.000	31.000	2.000	10.000	8.316	-4.152	9.295
