Grp	sID	Phase	Trial	S/L	L/R	
1.000	70.000	2.000	1.000	55.641	-4.754
1.000	70.000	2.000	2.000	8.041	-8.967
1.000	70.000	2.000	3.000	49.724	-12.016
1.000	70.000	2.000	4.000	-22.530	-5.748
1.000	70.000	2.000	5.000	75.391	-10.602
1.000	70.000	2.000	6.000	4.375	-20.757
1.000	70.000	2.000	7.000	43.438	-9.149
1.000	70.000	2.000	8.000	1.954	-5.118
1.000	70.000	2.000	9.000	32.711	-13.155
1.000	70.000	2.000	10.000	14.726	-9.474
1.000	70.000	2.000	1.000	32.133	-8.041
1.000	70.000	2.000	2.000	-8.660	-3.224
1.000	70.000	2.000	3.000	40.981	-8.849
1.000	70.000	2.000	4.000	-12.109	-6.067
1.000	70.000	2.000	5.000	0.183	-5.605
1.000	70.000	2.000	6.000	2.765	5.106
1.000	70.000	2.000	7.000	4.501	-9.253
1.000	70.000	2.000	8.000	11.007	-2.189
1.000	70.000	2.000	9.000	13.254	-8.488
1.000	70.000	2.000	10.000	0.391	-0.886
1.000	70.000	2.000	1.000	-49.261	0.019
1.000	70.000	2.000	2.000	0.096	-0.885
1.000	70.000	2.000	3.000	4.621	-0.011
1.000	70.000	2.000	4.000	4.012	-8.171
1.000	70.000	2.000	5.000	14.630	-8.786
1.000	70.000	2.000	6.000	12.373	-6.617
1.000	70.000	2.000	7.000	-37.469	-2.762
1.000	70.000	2.000	8.000	26.830	-5.472
1.000	70.000	2.000	9.000	8.251	-3.461
1.000	70.000	2.000	10.000	-34.120	-0.410
1.000	70.000	2.000	1.000	16.996	-5.940
1.000	70.000	2.000	2.000	3.728	-3.352
1.000	70.000	2.000	3.000	-1.784	-5.994
1.000	70.000	2.000	4.000	-9.334	2.874
1.000	70.000	2.000	5.000	15.724	-3.381
1.000	70.000	2.000	6.000	4.593	-11.908
1.000	70.000	2.000	7.000	14.252	-2.295
1.000	70.000	2.000	8.000	4.102	-11.416
1.000	70.000	2.000	9.000	5.876	-9.945
1.000	70.000	2.000	10.000	-2.388	-11.892
1.000	70.000	2.000	1.000	-0.311	-6.685
1.000	70.000	2.000	2.000	10.202	-9.955
1.000	70.000	2.000	3.000	10.006	-9.856
1.000	70.000	2.000	4.000	-22.725	-5.059
1.000	70.000	2.000	5.000	-4.154	-10.118
1.000	70.000	2.000	6.000	41.671	-8.064
1.000	70.000	2.000	7.000	-27.048	-3.672
1.000	70.000	2.000	8.000	5.210	-0.406
1.000	70.000	2.000	9.000	4.304	-9.351
1.000	70.000	2.000	10.000	-6.599	-4.901
1.000	70.000	2.000	1.000	5.885	-6.110
1.000	70.000	2.000	2.000	19.366	-1.816
1.000	70.000	2.000	3.000	-4.927	-4.413
1.000	70.000	2.000	4.000	53.760	-10.157
1.000	70.000	2.000	5.000	-10.825	-3.711
1.000	70.000	2.000	6.000	-37.762	-2.270
1.000	70.000	2.000	7.000	35.982	-2.151
1.000	70.000	2.000	8.000	22.693	-8.412
1.000	70.000	2.000	9.000	4.206	-9.056
1.000	70.000	2.000	10.000	34.100	-8.046
