Grp	sID	Phase	Trial	S/L	L/R	RE	
1.000	2.000	2.000	1.000	31.331	-7.188	32.145
1.000	2.000	2.000	2.000	34.735	-14.128	37.499
1.000	2.000	2.000	3.000	-22.385	-12.554	25.665
1.000	2.000	2.000	4.000	21.272	-8.145	22.778
1.000	2.000	2.000	5.000	-37.806	-8.618	38.776
1.000	2.000	2.000	6.000	-12.431	-15.795	20.100
1.000	2.000	2.000	7.000	25.581	-1.318	25.615
1.000	2.000	2.000	8.000	4.201	0.968	4.311
1.000	2.000	2.000	9.000	20.599	-2.188	20.715
1.000	2.000	2.000	10.000	9.489	8.868	12.987
1.000	2.000	2.000	1.000	43.264	3.237	43.385
1.000	2.000	2.000	2.000	-3.323	-1.361	3.590
1.000	2.000	2.000	3.000	-4.592	-1.358	4.789
1.000	2.000	2.000	4.000	3.312	-4.400	5.507
1.000	2.000	2.000	5.000	-18.089	-12.757	22.135
1.000	2.000	2.000	6.000	7.883	-13.979	16.048
1.000	2.000	2.000	7.000	16.131	9.831	18.891
1.000	2.000	2.000	8.000	1.069	-2.736	2.938
1.000	2.000	2.000	9.000	-0.785	-2.049	2.194
1.000	2.000	2.000	10.000	11.979	-16.623	20.489
1.000	2.000	2.000	1.000	2.430	-5.961	6.437
1.000	2.000	2.000	2.000	23.919	-2.487	24.048
1.000	2.000	2.000	3.000	-41.019	-3.730	41.188
1.000	2.000	2.000	4.000	10.140	-8.222	13.054
1.000	2.000	2.000	5.000	-20.023	-2.696	20.204
1.000	2.000	2.000	6.000	-8.219	-8.773	12.021
1.000	2.000	2.000	7.000	-24.789	7.176	25.806
1.000	2.000	2.000	8.000	11.708	-4.807	12.657
1.000	2.000	2.000	9.000	-29.410	-9.318	30.850
1.000	2.000	2.000	10.000	-4.024	-10.636	11.372
1.000	2.000	2.000	1.000	-3.245	-11.711	12.153
1.000	2.000	2.000	2.000	32.142	8.141	33.156
1.000	2.000	2.000	3.000	4.477	-7.723	8.927
1.000	2.000	2.000	4.000	-1.672	-6.149	6.372
1.000	2.000	2.000	5.000	-27.034	7.571	28.074
1.000	2.000	2.000	6.000	9.662	-2.850	10.073
1.000	2.000	2.000	7.000	16.130	9.539	18.739
1.000	2.000	2.000	8.000	-15.638	-7.684	17.424
1.000	2.000	2.000	9.000	15.608	-7.939	17.512
1.000	2.000	2.000	10.000	32.141	8.043	33.132
1.000	2.000	2.000	1.000	8.219	8.675	11.950
1.000	2.000	2.000	2.000	-0.303	-5.175	5.184
1.000	2.000	2.000	3.000	-0.596	-5.467	5.500
1.000	2.000	2.000	4.000	-3.139	-7.318	7.962
1.000	2.000	2.000	5.000	-16.995	-2.506	17.179
1.000	2.000	2.000	6.000	8.576	-8.707	12.222
1.000	2.000	2.000	7.000	20.680	-11.171	23.504
1.000	2.000	2.000	8.000	40.718	-0.664	40.723
1.000	2.000	2.000	9.000	11.405	-10.275	15.351
1.000	2.000	2.000	10.000	-34.760	1.043	34.776
