Grp	sID	Phase	Trial	S/L	L/R	RE	
2.000	18.000	2.000	1.000	126.511	-17.710	127.744
2.000	18.000	2.000	2.000	-25.048	-16.829	30.176
2.000	18.000	2.000	3.000	41.387	-16.829	44.678
2.000	18.000	2.000	4.000	-11.252	-13.307	17.426
2.000	18.000	2.000	5.000	35.615	-14.089	38.300
2.000	18.000	2.000	6.000	1.663	-20.547	20.614
2.000	18.000	2.000	7.000	27.689	-14.285	31.157
2.000	18.000	2.000	8.000	14.774	-14.383	20.619
2.000	18.000	2.000	9.000	9.589	-13.894	16.881
2.000	18.000	2.000	10.000	-9.589	-7.240	12.015
2.000	18.000	2.000	1.000	-7.240	-11.154	13.298
2.000	18.000	2.000	2.000	-3.816	-11.448	12.067
2.000	18.000	2.000	3.000	40.605	-24.265	47.303
2.000	18.000	2.000	4.000	-42.953	-3.620	43.105
2.000	18.000	2.000	5.000	60.369	-5.871	60.654
2.000	18.000	2.000	6.000	-19.177	-7.730	20.676
2.000	18.000	2.000	7.000	-31.897	-13.600	34.675
2.000	18.000	2.000	8.000	-3.229	-12.426	12.839
2.000	18.000	2.000	9.000	10.176	-17.612	20.340
2.000	18.000	2.000	10.000	0.978	-13.698	13.733
2.000	18.000	2.000	1.000	33.854	-5.577	34.310
2.000	18.000	2.000	2.000	-34.441	-6.164	34.988
2.000	18.000	2.000	3.000	-4.599	-25.537	25.948
2.000	18.000	2.000	4.000	-12.915	-20.351	24.103
2.000	18.000	2.000	5.000	30.136	-10.176	31.807
2.000	18.000	2.000	6.000	-46.084	-4.012	46.258
2.000	18.000	2.000	7.000	-4.892	-4.501	6.648
2.000	18.000	2.000	8.000	1.663	-15.263	15.354
2.000	18.000	2.000	9.000	-2.837	-10.567	10.941
2.000	18.000	2.000	10.000	-7.338	-10.958	13.188
2.000	18.000	2.000	1.000	-44.225	-4.403	44.444
2.000	18.000	2.000	2.000	8.414	-13.013	15.497
2.000	18.000	2.000	3.000	-1.565	-15.557	15.636
2.000	18.000	2.000	4.000	28.472	-15.753	32.539
2.000	18.000	2.000	5.000	-1.565	-12.426	12.524
2.000	18.000	2.000	6.000	-27.102	-3.327	27.306
2.000	18.000	2.000	7.000	19.471	-16.242	25.356
2.000	18.000	2.000	8.000	-9.980	4.109	10.793
2.000	18.000	2.000	9.000	-8.023	-8.023	11.346
2.000	18.000	2.000	10.000	3.131	-15.753	16.061
2.000	18.000	2.000	1.000	-9.099	-5.186	10.473
2.000	18.000	2.000	2.000	-1.859	-18.394	18.488
2.000	18.000	2.000	3.000	-4.305	-8.414	9.452
2.000	18.000	2.000	4.000	6.458	12.132	13.744
2.000	18.000	2.000	5.000	-11.350	-14.970	18.786
2.000	18.000	2.000	6.000	-31.114	-5.088	31.527
2.000	18.000	2.000	7.000	-20.743	-4.892	21.312
2.000	18.000	2.000	8.000	-19.275	6.555	20.359
2.000	18.000	2.000	9.000	-48.726	-2.642	48.797
2.000	18.000	2.000	10.000	88.841	-26.418	92.686
