Grp	sID	Phase	Trial	S/L	L/R	
1.000	72.000	2.000	1.000	-37.697	-2.545
1.000	72.000	2.000	2.000	12.138	-5.659
1.000	72.000	2.000	3.000	-25.218	-17.823
1.000	72.000	2.000	4.000	-13.855	-3.458
1.000	72.000	2.000	5.000	29.086	-11.050
1.000	72.000	2.000	6.000	59.145	-5.422
1.000	72.000	2.000	7.000	-14.594	-13.071
1.000	72.000	2.000	8.000	10.414	-15.954
1.000	72.000	2.000	9.000	28.147	-21.545
1.000	72.000	2.000	10.000	40.044	-17.193
1.000	72.000	2.000	1.000	41.466	9.983
1.000	72.000	2.000	2.000	-1.306	-5.587
1.000	72.000	2.000	3.000	-44.755	-1.133
1.000	72.000	2.000	4.000	-0.643	8.149
1.000	72.000	2.000	5.000	-10.553	-9.757
1.000	72.000	2.000	6.000	-2.542	1.682
1.000	72.000	2.000	7.000	-36.324	-2.748
1.000	72.000	2.000	8.000	19.964	-10.215
1.000	72.000	2.000	9.000	-2.716	5.903
1.000	72.000	2.000	10.000	5.935	-9.453
1.000	72.000	2.000	1.000	18.658	-15.802
1.000	72.000	2.000	2.000	25.912	-17.411
1.000	72.000	2.000	3.000	37.630	8.237
1.000	72.000	2.000	4.000	21.321	-13.363
1.000	72.000	2.000	5.000	14.887	-5.379
1.000	72.000	2.000	6.000	10.128	-14.480
1.000	72.000	2.000	7.000	16.256	-6.270
1.000	72.000	2.000	8.000	8.866	6.233
1.000	72.000	2.000	9.000	-34.762	-4.131
1.000	72.000	2.000	10.000	79.539	-8.770
1.000	72.000	2.000	1.000	24.448	-15.833
1.000	72.000	2.000	2.000	-45.394	7.703
1.000	72.000	2.000	3.000	32.439	-8.025
1.000	72.000	2.000	4.000	20.485	-4.723
1.000	72.000	2.000	5.000	36.326	3.141
1.000	72.000	2.000	6.000	19.299	-6.286
1.000	72.000	2.000	7.000	-9.776	-11.331
1.000	72.000	2.000	8.000	-2.833	2.370
1.000	72.000	2.000	9.000	22.468	-0.808
1.000	72.000	2.000	10.000	49.068	0.128
1.000	72.000	2.000	1.000	35.577	-8.533
1.000	72.000	2.000	2.000	-8.645	-1.720
1.000	72.000	2.000	3.000	-27.615	-7.309
1.000	72.000	2.000	4.000	27.493	-15.359
1.000	72.000	2.000	5.000	-19.173	-6.766
1.000	72.000	2.000	6.000	10.131	-13.990
1.000	72.000	2.000	7.000	1.496	-13.747
1.000	72.000	2.000	8.000	-7.032	6.318
1.000	72.000	2.000	9.000	16.019	4.330
1.000	72.000	2.000	10.000	-1.307	-5.783
