Grp	sID	Phase	Trial	S/L	L/R	
2.000	71.000	2.000	1.000	132.000	-15.557
2.000	71.000	2.000	2.000	89.721	-12.328
2.000	71.000	2.000	3.000	7.240	-5.773
2.000	71.000	2.000	4.000	-4.990	-9.588
2.000	71.000	2.000	5.000	40.409	-10.567
2.000	71.000	2.000	6.000	90.210	-11.252
2.000	71.000	2.000	7.000	11.056	-3.620
2.000	71.000	2.000	8.000	2.250	-6.555
2.000	71.000	2.000	9.000	28.765	-10.567
2.000	71.000	2.000	10.000	30.135	-3.327
2.000	71.000	2.000	1.000	40.213	-26.222
2.000	71.000	2.000	2.000	-29.940	-4.794
2.000	71.000	2.000	3.000	8.708	-12.328
2.000	71.000	2.000	4.000	28.472	0.489
2.000	71.000	2.000	5.000	21.525	-11.447
2.000	71.000	2.000	6.000	-12.915	-4.794
2.000	71.000	2.000	7.000	26.515	-13.013
2.000	71.000	2.000	8.000	-5.675	-3.522
2.000	71.000	2.000	9.000	45.105	-3.033
2.000	71.000	2.000	10.000	-44.127	-2.642
2.000	71.000	2.000	1.000	-26.515	-4.305
2.000	71.000	2.000	2.000	45.496	-5.871
2.000	71.000	2.000	3.000	5.968	-6.164
2.000	71.000	2.000	4.000	-38.060	-1.174
2.000	71.000	2.000	5.000	8.610	-3.620
2.000	71.000	2.000	6.000	49.214	-14.089
2.000	71.000	2.000	7.000	16.829	-4.207
2.000	71.000	2.000	8.000	-27.298	-8.806
2.000	71.000	2.000	9.000	21.232	-5.773
2.000	71.000	2.000	10.000	-22.406	-9.001
2.000	71.000	2.000	1.000	-4.109	-6.066
2.000	71.000	2.000	2.000	18.883	-4.403
2.000	71.000	2.000	3.000	2.935	-0.196
2.000	71.000	2.000	4.000	3.914	-4.599
2.000	71.000	2.000	5.000	21.917	-5.186
2.000	71.000	2.000	6.000	33.560	-7.436
2.000	71.000	2.000	7.000	13.796	-4.012
2.000	71.000	2.000	8.000	-7.240	-7.632
2.000	71.000	2.000	9.000	13.991	-3.620
2.000	71.000	2.000	10.000	3.816	-5.186
2.000	71.000	2.000	1.000	18.492	-7.436
2.000	71.000	2.000	2.000	13.894	-6.849
2.000	71.000	2.000	3.000	16.633	-8.708
2.000	71.000	2.000	4.000	28.374	-6.262
2.000	71.000	2.000	5.000	-28.374	-7.632
2.000	71.000	2.000	6.000	-20.840	-5.675
2.000	71.000	2.000	7.000	10.273	-5.577
2.000	71.000	2.000	8.000	25.635	-10.273
2.000	71.000	2.000	9.000	16.340	-6.458
2.000	71.000	2.000	10.000	15.263	-15.557
